id,input_text,finetune_prediction,pretrained_prediction,pretrained_prediction_cleaned,finetune_accuracy,pretrained_accuracy,sentence_labels
1,"Reykjavík the capital and largest city of Iceland is located in southwestern Iceland, on the southern shore of Faxaflói bay.",employedBy,is,noRelation,0,0,locatedAt
2,"Marsellie is located on the coast of the Gulf of Lion, part of the Mediterranean Sea.",managerOf,is located part on,locatedAt,0,1,locatedAt
3,"The Aditya Birla Group (ABG) is an Indian multinational Fortune 500 company headquartered in Mumbai, Maharashtra.",locatedAt,is,noRelation,1,0,locatedAt
4,"Darulaman is a locality in the south-western fringes of Kabul, Afghanistan, forming part of District 6.",locatedAt,is locality in,locatedAt,1,1,locatedAt
5,Adelaide is situated on the Adelaide Plains north of the Fleurieu Peninsula.,employedBy,is situated on,locatedAt,0,1,locatedAt
6,Garden City is a residential area of Melbourne located in the City of Port Phillip 5 km south-west of the Melbourne CBD.,locatedAt,is residential area in,locatedAt,1,1,locatedAt
7,Scherpenheuvel-Zichem is a city and municipality located in the province of Flemish Brabant.,locatedAt,is,noRelation,1,0,locatedAt
8,"Dimitrovgrad is a town in Haskovo Province, Bulgaria.",locatedAt,is town in,noRelation,1,0,locatedAt
9,"Moroni which is located along the Route Nationale 1, has a port and several mosques such as the Badjanani Mosque.",managerOf,,noRelation,0,0,locatedAt
10,Friern Hospital was a large Victorian psychiatric hospital located in Friern Barnet.,locatedAt,was,managerOf,1,0,locatedAt
11,The 1915 Çanakkale Bridge is a road suspension bridge located in the province of Çanakkale in northwestern Turkey.,locatedAt,is,managerOf,1,0,locatedAt
12,"One Blackfriars bridge, also located on the South Bank, topped out in 2017 at 163 metres.",employedBy,also located on,locatedAt,0,1,locatedAt
13,"Bresy is located in the southwestern part of Belarus, bordering the Podlasie.",employedBy,is located in,locatedAt,0,1,locatedAt
14,"Amsterdam is located in the Dutch province of North Holland,[13]",locatedAt,is located in,locatedAt,1,1,locatedAt
15,"The Kocatepe Mosque is the largest mosque in Ankara, Turkey.",locatedAt,is,noRelation,1,0,locatedAt
16,Julie Sweet is chief executive officer (CEO) of Accenture.,managerOf,is,noRelation,1,0,managerOf
17,Simon Daniel Weaver is an English football manager and former player who is manager of League Two side Harrogate Town.,locatedAt,is,noRelation,0,0,managerOf
18,Pep Guardiola is a Spanish professional football manager and former player who is currently managing Premier League club Manchester City.,locatedAt,is,noRelation,0,0,managerOf
19,"Samsung Electronics is overseen by Kim Ki-nam, who holds the position of Chief Executive Officer and President of the organization.",managerOf,is overseen by,noRelation,1,0,managerOf
20,"Acme Innovations, a technology startup, is managed by Sarah Chang, who serves as the Chief Executive Officer.",managerOf,is managed by,managerOf,1,1,managerOf
21,"Nexus BioTech, a biopharmaceutical company, is directed by Dr. Emily Chen, who serves as the Chief Operating Officer.",managerOf,is directed by,managerOf,1,1,managerOf
22,"CipherSoft, a cybersecurity firm, is overseen by Michael Turner, who holds the role of Chief Security Officer and Managing Director.",managerOf,is overseen by,managerOf,1,1,managerOf
23,"Novus Analytics, a data analytics startup, is managed by Olivia Bennett, who is the Chief Data Scientist and CEO.",managerOf,is,noRelation,1,0,managerOf
24,"FusionX Labs, an augmented reality development company, is led by Alex Foster, the Chief Technology Officer and Founder.",managerOf,is led by,noRelation,1,0,managerOf
25,"Quantum Solutions is led by Andrew Patel, who serves as the Operations Manager handling the company's day-to-day operations.",managerOf,handling,noRelation,1,0,managerOf
26,"Horizon Dynamics is overseen by Brandon Wong, who holds the position of Chief Executive Officer and President of the organization",managerOf,is overseen by,managerOf,1,1,managerOf
27,"Razorpay is directed by Harshil Mathur, who holds the position of Chief Executive Officer.",managerOf,is directed by,managerOf,1,1,managerOf
28,"Zomato is managed by Deepinder Goyal, who acts as the Chief Executive Officer.",managerOf,is managed by,managerOf,1,1,managerOf
29,"King, the creator of Candy Crush, is managed by Humam Sakhnini, who acts as the President of the organization.",employedBy,is managed by,managerOf,0,1,managerOf
