,id,input_text,finetune_prediction,predefined_prediction,manual_answer,finetune_accuracy,pretrained_prediction_cleaned
0,1,"Flagship coach factory of Indian Railways located at Chennai, arguably the largest rail coach manufacturer in the world. 70000+ coaches mfd so far in 75+ types.",managerOf,located,locatedAt,0,locatedAT
1,2,"We teach, train, and develop pitchers of all ages. Home of Grady’s VIP Training Program. @rapsodo pitch design certified. Located at @velosportsohio.",managerOf,develop,locatedAt,0,noRelation
2,3,"Official Twitter Profile of IKGPTU. I.K.Gujral Punjab Technical University is a State Govt. University located at Kapurthala highway, Jalandhar, Punjab, India",locatedAt,is,locatedAt,1,noRelation
3,4,"Group of Brazilian volunteers fighting against Russians located in a house, one of the volunteers fires an AT-4 at the house window.",managerOf,located in,locatedAt,0,locatedAT
4,5,There are some 6 million registered Palestinian refugees living in at least 58 camps located throughout Palestine and neighbouring countries.,managerOf,,locatedAt,0,noRelation
5,6,"The Cliffs of Moher are located at the southwestern edge of the Burren region in County Clare, Ireland: they run for about 14 km. ",locatedAt,are,locatedAt,1,noRelation
6,7,Anybody need a job ? Working for UHG ? It’s work from home I’m not sure of the starting pay depends on where you are located at!! I’m doing referrals ☺️send me first and last name with email.,employedBy,need,locatedAt,0,noRelation
7,8,"There you have it: the first Apple Store in Malaysia, located at The Exchange TRX.",managerOf,is in,locatedAt,0,locatedAT
8,9,"#DidYouKnow: Located on the #DelhiMeerutExpressway at Chipiyana Buzurg in #UP, the 115m steel truss Railway Over Bridge is facilitating smooth transit between the two cities.",employedBy,is in,locatedAt,0,locatedAT
9,10,The second vehicle that was reported to be in connection with the terrorist attack carried out at the US northern border has just been located.,employedBy,has,locatedAt,0,noRelation
10,11,The oldest winery in the world discovered to date is located in the Armenian Highlands and dates back to approximately 4100 BC.,managerOf,is,locatedAt,0,noRelation
11,12,Ukrainian loitering munitions hit and destroyed a gun nest of Russian forces located on at tower west of Horlivka,locatedAt,hit,locatedAt,1,noRelation
12,13,"Ancient, humble pews at St Nicholas, Leckford. Located at the back of the church, these small 16th century pews would give a very poor view of the activity at the altar, it's a wonder they've survived at all. ",managerOf,would give view at,locatedAt,0,noRelation
13,14,"Jara Beach Resort is arguably the best beach resort in Lagos at the moment. The resort is located in Museyo, Eleko, Lagos and is easily accessible by road.",managerOf,is,locatedAt,0,noRelation
14,15,Century Coffee co. located at the entrance of the City Foundry Food Hall opens this Friday!,managerOf,located at,locatedAt,0,locatedAT
15,16,How TF did a manager of McDonald’s and Blockbuster become mother and father God?,locatedAt,become,managerOf,0,managerOf
16,17,Erik ten Hag will be manager of the month for November with ZERO goals conceded and 3/3 wins,managerOf,will,managerOf,1,noRelation
17,18,When Mark Goldbridge knows more ball than the manager of the biggest club in England.,managerOf,knows,managerOf,1,noRelation
18,19,"The Manager of the Tunnel in Uttarakhand demolished the Temple outside the Tunnel to make way, soon after the demolition of the Temple the tunnel collapsed",employedBy,make way,managerOf,0,noRelation
