,Sentence,manual_answer,pretrained_prediction_cleaned,reverse_sentences
0,"Reykjavík the capital and largest city of Iceland is located in southwestern Iceland, on the southern shore of Faxaflói bay.",locatedAt,noRelation,"bay Faxaflói of shore southern the on Iceland, southwestern in located is Iceland of city largest and capital the Reykjavík."
1,"Marsellie is located on the coast of the Gulf of Lion, part of the Mediterranean Sea.",locatedAt,locatedAt,"Sea Mediterranean the of part Lion, of Gulf the of coast the on located is Marsellie."
2,"The Aditya Birla Group (ABG) is an Indian multinational Fortune 500 company headquartered in Mumbai, Maharashtra.",locatedAt,noRelation,"Maharashtra in Mumbai, headquartered 500 company multinational Fortune Indian an is Group (ABG) Birla The Aditya."
3,"Darulaman is a locality in the south-western fringes of Kabul, Afghanistan, forming part of District 6.",locatedAt,locatedAt,"6 District of part forming Afghanistan, Kabul, of fringes south-western the in locality a is Darulaman."
4,Adelaide is situated on the Adelaide Plains north of the Fleurieu Peninsula.,locatedAt,locatedAt,Peninsula Fleurieu the of north Plains Adelaide the on situated is Adelaide.
5,Garden City is a residential area of Melbourne located in the City of Port Phillip 5 km south-west of the Melbourne CBD.,locatedAt,locatedAt,CBD Melbourne the of south-west km 5 Phillip Port of City the in located Melbourne of area residential a is City Garden.
6,Scherpenheuvel-Zichem is a city and municipality located in the province of Flemish Brabant.,locatedAt,noRelation,Brabant Flemish of province the in located municipality and city a is Scherpenheuvel-Zichem.
7,"Dimitrovgrad is a town in Haskovo Province, Bulgaria.",locatedAt,noRelation,"Bulgaria Province, Haskovo in town a is Dimitrovgrad."
8,"Moroni which is located along the Route Nationale 1, has a port and several mosques such as the Badjanani Mosque.",locatedAt,noRelation,"Mosque Badjanani the as such mosques several and port a has 1, Nationale Route the along located is which Moroni."
9,Friern Hospital was a large Victorian psychiatric hospital located in Friern Barnet.,locatedAt,managerOf,Barnet Friern in located hospital psychiatric Victorian large a was Hospital Friern.
10,The 1915 Çanakkale Bridge is a road suspension bridge located in the province of Çanakkale in northwestern Turkey.,locatedAt,managerOf,Turkey northwestern in Çanakkale of province the in located bridge suspension road a is Bridge Çanakkale 1915 The.
